a | ARTICLE
embellishes | VERB 
emblematise | VERB 
emblematised | VERB 
emblematize | VERB 
emblematized | VERB 
embodying | VERB 
embowelling | VERB 
embrocated | VERB 
embrocating | VERB 
emendated | VERB 
emendating | VERB 
emigrated | VERB 
emigrating | VERB 
empanelling | VERB 
empathizes | VERB 
empathizing | VERB 
emphasises | VERB 
emphasising | VERB 
emphasizes | VERB 
emphasizing | VERB 
empoverish | VERB 
emulated | VERB 
emulating | VERB 
emulsified | VERB 
emulsifies | VERB 
emulsify | VERB 
enameling | VERB 
enamelling | VERB 
enamellings | VERB 
encapsulate | VERB 
encapsulates | VERB 
encarnalise | VERB 
encarnalised | VERB 
encarnalize | VERB 
encarnalized | VERB 
encincturing | VERB 
encompasses | VERB 
encourages | VERB 
encouraging | VERB 
endamages | VERB 
energises | VERB 
energising | VERB 
energizes | VERB 
energizing | VERB 
enervating | VERB 
enfiladed | VERB 
enfilading | VERB 
enfranchises | VERB 
enfranchising | VERB 
enigmatize | VERB 
enrapturing | VERB 
enravishes | VERB 
enregister | VERB 
enregisters | VERB 
ensanguining | VERB 
ensilaging | VERB 
enthronises | VERB 
enthronising | VERB 
enthronizes | VERB 
enthronizing | VERB 
enucleate | VERB 
enucleates | VERB 
enumerate | VERB 
enumerates | VERB 
enunciate | VERB 
enunciates | VERB 
envelopes | VERB 
enveloping | VERB 
envisages | VERB 
envisaging | VERB 
epilated | VERB 
epilating | VERB 
episcopise | VERB 
episcopised | VERB 
episcopize | VERB 
episcopized | VERB 
epistolise | VERB 
epistolised | VERB 
epistolize | VERB 
epistolized | VERB 
epitomise | VERB 
epitomised | VERB 
epitomize | VERB 
epitomized | VERB 
equalises | VERB 
equalising | VERB 
equalizes | VERB 
equalizing | VERB 
equilibrate | VERB 
equilibrates | VERB 
equipoises | VERB 
equipoising | VERB 
equivocate | VERB 
equivocates | VERB 
eradiate | VERB 
eradiates | VERB 
eradicate | VERB 
eradicates | VERB 
eructated | VERB 
eructating | VERB 
escaladed | VERB 
escalading | VERB 
escalated | VERB 
escalating | VERB 
establishes | VERB 
esterified | VERB 
esterifies | VERB 
esterify | VERB 
estimated | VERB 
estimating | VERB 
estivated | VERB 
estivating | VERB 
eternalise | VERB 
eternalised | VERB 
eternalize | VERB 
eternalized | VERB 
eternises | VERB 
eternising | VERB 
eternizes | VERB 
eternizing | VERB 
etherifies | VERB 
etherify | VERB 
etherizes | VERB 
etherizing | VERB 
ethicizes | VERB 
ethicizing | VERB 
ethylated | VERB 
ethylating | VERB 
etiolate | VERB 
etiolates | VERB 
euhemerise | VERB 
euhemerised | VERB 
euhemerize | VERB 
euhemerized | VERB 
eulogises | VERB 
eulogising | VERB 
eulogizes | VERB 
eulogizing | VERB 
eunuchises | VERB 
eunuchising | VERB 
eunuchizes | VERB 
eunuchizing | VERB 
euphemises | VERB 
euphemising | VERB 
euphemizes | VERB 
euphemizing | VERB 
euphonises | VERB 
euphonising | VERB 
euphonizes | VERB 
euphonizing | VERB 
evacuate | VERB 
evacuates | VERB 
evaginate | VERB 
evaginates | VERB 
evaluate | VERB 
evaluates | VERB 
evanesces | VERB 
evanescing | VERB 
evangelise | VERB 
evangelised | VERB 
evangelize | VERB 
evangelized | VERB 
evanishes | VERB 
evaporate | VERB 
evaporates | VERB 
eventuate | VERB 
eventuates | VERB 
evidences | VERB 
evidencing | VERB 
eviscerate | VERB 
eviscerates | VERB 
exacerbate | VERB 
exacerbates | VERB 
exaggerate | VERB 
exaggerates | VERB 
examinees | VERB 
examining | VERB 
exasperate | VERB 
exasperates | VERB 
excavated | VERB 
excavating | VERB 
excogitate | VERB 
excogitates | VERB 
excoriate | VERB 
excoriates | VERB 
excorticate | VERB 
excorticates | VERB 
excruciate | VERB 
excruciates | VERB 
exculpated | VERB 
exculpating | VERB 
execrated | VERB 
execrating | VERB 
executed | VERB 
executing | VERB 
exemplified | VERB 
exemplifies | VERB 
exemplify | VERB 
exenterate | VERB 
exenterates | VERB 
exercises | VERB 
exercising | VERB 
exfoliate | VERB 
exfoliates | VERB 
exhilarate | VERB 
exhilarates | VERB 
exonerate | VERB 
exonerates | VERB 
exorcises | VERB 
exorcising | VERB 
exorcizes | VERB 
exorcizing | VERB 
expatiate | VERB 
expatiates | VERB 
expatriate | VERB 
expatriates | VERB 
expectorate | VERB 
expectorates | VERB 
expeditate | VERB 
expeditates | VERB 
expedited | VERB 
expediting | VERB 
experiment | VERB 
experiments | VERB 
expertising | VERB 
expertizes | VERB 
expertizing | VERB 
expiated | VERB 
expiating | VERB 
explicated | VERB 
explicating | VERB 
expostulate | VERB 
expostulates | VERB 
expropriate | VERB 
expropriates | VERB 
expurgated | VERB 
expurgating | VERB 
exsanguinate | VERB 
exsanguinates | VERB 
exsiccated | VERB 
exsiccating | VERB 
extemporise | VERB 
extemporised | VERB 
extemporize | VERB 
extemporized | VERB 
extenuate | VERB 
extenuates | VERB 
exterminate | VERB 
exterminates | VERB 
externalise | VERB 
externalised | VERB 
externalize | VERB 
externalized | VERB 
extinguishes | VERB 
extirpated | VERB 
extirpating | VERB 
extradited | VERB 
extraditing | VERB 
extrapolate | VERB 
extrapolates | VERB 
extravagate | VERB 
extravagates | VERB 
extravasate | VERB 
extravasates | VERB 
extricated | VERB 
extricating | VERB 
exuberate | VERB 
exuberates | VERB 
exuviate | VERB 
exuviates | VERB 
fabricated | VERB 
fabricating | VERB 
facilitate | VERB 
facilitates | VERB 
facsimile | VERB 
facsimiled | VERB 
facsimiles | VERB 
factorises | VERB 
factorizes | VERB 
factorizing | VERB 
falsifying | VERB 
familiarise | VERB 
familiarised | VERB 
familiarize | VERB 
familiarized | VERB 
fanaticise | VERB 
fanaticised | VERB 
fanaticize | VERB 
fanaticized | VERB 
fantasizes | VERB 
fantasizing | VERB 
faradises | VERB 
faradising | VERB 
faradizes | VERB 
faradizing | VERB 
fascinated | VERB 
fecundated | VERB 
fecundating | VERB 
federalise | VERB 
federalised | VERB 
federalize | VERB 
federalized | VERB 
federating | VERB 
felicitate | VERB 
felicitates | VERB 
feminises | VERB 
feminising | VERB 
feminizes | VERB 
feminizing | VERB 
fertilises | VERB 
fertilising | VERB 
fertilizes | VERB 
fertilizing | VERB 
festinated | VERB 
festinating | VERB 
feudalises | VERB 
feudalising | VERB 
feudalizes | VERB 
feudalizing | VERB 
fianchetto | VERB 
fictionalize | VERB 
fictionalized | VERB 
filiated | VERB 
filiating | VERB 
filibuster | VERB 
filibusters | VERB 
fimbriated | VERB 
fimbriating | VERB 
finalizes | VERB 
finalizing | VERB 
financier | VERB 
financiers | VERB 
flagellated | VERB 
flagellating | VERB 
flocculated | VERB 
flocculating | VERB 
fluctuated | VERB 
fluctuating | VERB 
fluidises | VERB 
fluidising | VERB 
fluidizes | VERB 
fluidizing | VERB 
fluoresces | VERB 
fluorescing | VERB 
fluoridated | VERB 
fluoridating | VERB 
fluoridises | VERB 
fluoridising | VERB 
fluoridizes | VERB 
fluoridizing | VERB 
fluorinated | VERB 
fluorinating | VERB 
focalises | VERB 
focalising | VERB 
focalizes | VERB 
focalizing | VERB 
foliating | VERB 
formalises | VERB 
formalising | VERB 
formalizes | VERB 
formalizing | VERB 
formularise | VERB 
formularised | VERB 
formularize | VERB 
formularized | VERB 
formulated | VERB 
formulating | VERB 
formulises | VERB 
formulising | VERB 
formulizes | VERB 
formulizing | VERB 
fornicated | VERB 
fornicating | VERB 
fortifying | VERB 
fossilises | VERB 
fossilising | VERB 
fossilizes | VERB 
fossilizing | VERB 
fractionated | VERB 
fractionating | VERB 
fractionises | VERB 
fractionising | VERB 
fractionizes | VERB 
fractionizing | VERB 
fraternises | VERB 
fraternising | VERB 
fraternizes | VERB 
fraternizing | VERB 
fricasseeing | VERB 
fructifying | VERB 
fulgurated | VERB 
fulminated | VERB 
fumigated | VERB 
fumigating | VERB 
fustigated | VERB 
fustigating | VERB 
galvanises | VERB 
galvanising | VERB 
galvanizes | VERB 
galvanizing | VERB 
garnisheeing | VERB 
gasifying | VERB 
gelatinate | VERB 
gelatinates | VERB 
gelatinise | VERB 
gelatinised | VERB 
gelatinize | VERB 
gelatinized | VERB 
geminated | VERB 
geminating | VERB 
generalise | VERB 
generalised | VERB 
generalize | VERB 
generated | VERB 
generating | VERB 
geologise | VERB 
geologised | VERB 
geologize | VERB 
geologized | VERB 
geometrise | VERB 
geometrised | VERB 
geometrize | VERB 
geometrized | VERB 
germinated | VERB 
germinating | VERB 
gerrymander | VERB 
gerrymanders | VERB 
gesticulate | VERB 
gesticulates | VERB 
glaciated | VERB 
glaciating | VERB 
glamorizes | VERB 
glamorizing | VERB 
glorifying | VERB 
gluttonises | VERB 
gluttonising | VERB 
gluttonizes | VERB 
gluttonizing | VERB 
gorgonises | VERB 
gorgonising | VERB 
gorgonizes | VERB 
gorgonizing | VERB 
gormandises | VERB 
gormandising | VERB 
gormandisings | VERB 
gormandizes | VERB 
gormandizing | VERB 
graduating | VERB 
grangerises | VERB 
grangerising | VERB 
grangerizes | VERB 
grangerizing | VERB 
granitizes | VERB 
granulating | VERB 
graphitizes | VERB 
graphitizing | VERB 
gratinated | VERB 
gratinating | VERB 
gratulated | VERB 
gratulating | VERB 
gravitated | VERB 
gravitating | VERB 
guaranteeing | VERB 
gutturalise | VERB 
gutturalised | VERB 
gutturalize | VERB 
habilitate | VERB 
habilitates | VERB 
habituate | VERB 
habituates | VERB 
haemorrhages | VERB 
haemorrhaging | VERB 
hallucinate | VERB 
hallucinates | VERB 
halogenate | VERB 
halogenates | VERB 
handicapping | VERB 
harmonises | VERB 
harmonising | VERB 
harmonizes | VERB 
harmonizing | VERB 
heathenises | VERB 
heathenising | VERB 
heathenizes | VERB 
heathenizing | VERB 
hebetated | VERB 
hebetating | VERB 
heliograph | VERB 
heliographs | VERB 
hemorrhages | VERB 
hemorrhaging | VERB 
hepatises | VERB 
hepatising | VERB 
hepatizes | VERB 
hepatizing | VERB 
herborizes | VERB 
herborizing | VERB 
hesitated | VERB 
hesitating | VERB 
heterodyne | VERB 
hibernated | VERB 
hibernating | VERB 
holystoning | VERB 
homogenize | VERB 
homogenized | VERB 
homologate | VERB 
homologates | VERB 
homologise | VERB 
homologised | VERB 
homologize | VERB 
homologized | VERB 
horrifying | VERB 
horripilate | VERB 
horripilates | VERB 
hospitalize | VERB 
hospitalized | VERB 
humanises | VERB 
humanising | VERB 
humanizes | VERB 
humanizing | VERB 
humidified | VERB 
humidifies | VERB 
humidify | VERB 
humiliate | VERB 
humiliates | VERB 
hyalinize | VERB 
hyalinized | VERB 
hybridises | VERB 
hybridising | VERB 
hybridizes | VERB 
hybridizing | VERB 
hydrogenate | VERB 
hydrogenates | VERB 
hydrogenise | VERB 
hydrogenised | VERB 
hydrogenize | VERB 
hydrogenized | VERB 
hydrolyses | VERB 
hydrolysing | VERB 
hydrolyzes | VERB 
hydrolyzing | VERB 
hydroplaning | VERB 
hyperbolize | VERB 
hyperbolized | VERB 
hypertrophy | VERB 
hyphenating | VERB 
hyphenises | VERB 
hyphenising | VERB 
hyphenizes | VERB 
hyphenizing | VERB 
hypnotises | VERB 
hypnotising | VERB 
hypnotizes | VERB 
hypnotizing | VERB 
hypostasise | VERB 
hypostasised | VERB 
hypostasize | VERB 
hypostasized | VERB 
hypostatise | VERB 
hypostatised | VERB 
hypostatize | VERB 
hypostatized | VERB 
hypothecate | VERB 
hypothecates | VERB 
hypothesise | VERB 
hypothesised | VERB 
hypothesize | VERB 
hypothesized | VERB 
idealise | VERB 
idealised | VERB 
idealize | VERB 
idealized | VERB 
identified | VERB 
identifies | VERB 
identify | VERB 
idolatrise | VERB 
idolatrised | VERB 
idolatrize | VERB 
idolatrized | VERB 
idolises | VERB 
idolising | VERB 
idolizes | VERB 
idolizing | VERB 
illegalise | VERB 
illegalised | VERB 
illegalize | VERB 
illegalized | VERB 
illuminate | VERB 
illuminates | VERB 
illumining | VERB 
illustrated | VERB 
illustrateds | VERB 
illustrating | VERB 
imagining | VERB 
imaginings | VERB 
imitated | VERB 
imitating | VERB 
immigrated | VERB 
immigrating | VERB 
immobilise | VERB 
immobilised | VERB 
immobilize | VERB 
immobilized | VERB 
immolated | VERB 
immolating | VERB 
immortalise | VERB 
immortalised | VERB 
immortalize | VERB 
immortalized | VERB 
immunises | VERB 
immunising | VERB 
immunizes | VERB 
immunizing | VERB 
impanelling | VERB 
imparadise | VERB 
imperilling | VERB 
impersonate | VERB 
impersonates | VERB 
impetrated | VERB 
impetrating | VERB 
impignorate | VERB 
impignorates | VERB 
implicated | VERB 
implicating | VERB 
importuning | VERB 
impoverish | VERB 
imprecated | VERB 
imprecating | VERB 
impropriate | VERB 
impropriates | VERB 
improvises | VERB 
improvising | VERB 
inactivate | VERB 
inactivates | VERB 
inaugurate | VERB 
inaugurates | VERB 
incandesces | VERB 
incandescing | VERB 
incapsulate | VERB 
incapsulates | VERB 
incarcerate | VERB 
incarcerates | VERB 
incardinate | VERB 
incardinates | VERB 
incarnadine | VERB 
incarnadined | VERB 
incarnadines | VERB 
incarnated | VERB 
incarnating | VERB 
incinerate | VERB 
incinerates | VERB 
incommoded | VERB 
incommoding | VERB 
inconvenience | VERB 
inconvenienced | VERB 
incorporate | VERB 
incorporates | VERB 
incrassated | VERB 
incrassating | VERB 
incriminate | VERB 
incriminates | VERB 
incubated | VERB 
incubating | VERB 
inculcated | VERB 
inculcating | VERB 
inculpated | VERB 
inculpating | VERB 
indagated | VERB 
indagating | VERB 
indemnified | VERB 
indemnifies | VERB 
indemnify | VERB 
indenturing | VERB 
indicated | VERB 
indicating | VERB 
indisposes | VERB 
indisposing | VERB 
indoctrinate | VERB 
indoctrinates | VERB 
indulgences | VERB 
indurated | VERB 
indurating | VERB 
inebriate | VERB 
inebriates | VERB 
infamizes | VERB 
infatuate | VERB 
infatuates | VERB 
infibulate | VERB 
infibulates | VERB 
infiltrated | VERB 
infiltrating | VERB 
influences | VERB 
influencing | VERB 
infuriate | VERB 
infuriates | VERB 
ingeminate | VERB 
ingeminates | VERB 
ingenerate | VERB 
ingenerates | VERB 
ingratiate | VERB 
ingratiates | VERB 
ingurgitate | VERB 
ingurgitates | VERB 
initialize | VERB 
initialling | VERB 
initiate | VERB 
initiates | VERB 
innervated | VERB 
innervating | VERB 
innovated | VERB 
innovating | VERB 
inoculate | VERB 
inoculates | VERB 
inosculate | VERB 
inosculates | VERB 
insalivate | VERB 
insalivates | VERB 
inseminate | VERB 
inseminates | VERB 
insinuate | VERB 
insinuates | VERB 
insolated | VERB 
insolating | VERB 
inspissated | VERB 
inspissating | VERB 
instantiate | VERB 
instantiates | VERB 
instigated | VERB 
instigating | VERB 
instituted | VERB 
instituting | VERB 
insufflated | VERB 
insufflating | VERB 
insulated | VERB 
integrating | VERB 
intenerate | VERB 
intenerates | VERB 
intensified | VERB 
intensifies | VERB 
intensify | VERB 
interbreeding | VERB 
interbreedings | VERB 
intercalate | VERB 
intercalates | VERB 
interceded | VERB 
interceding | VERB 
interchanges | VERB 
interchanging | VERB 
interconvert | VERB 
interconverts | VERB 
intercropping | VERB 
intercrosses | VERB 
interfering | VERB 
interfuses | VERB 
interfusing | VERB 
intergraded | VERB 
intergrading | VERB 
interknitted | VERB 
interknitting | VERB 
interlaces | VERB 
interlacing | VERB 
interlaying | VERB 
interleaving | VERB 
interloping | VERB 
intermarried | VERB 
intermarries | VERB 
intermarry | VERB 
intermeddle | VERB 
intermeddles | VERB 
intermingle | VERB 
intermingles | VERB 
intermitted | VERB 
intermitting | VERB 
intermixes | VERB 
internalise | VERB 
internalize | VERB 
internalized | VERB 
interpages | VERB 
interpellate | VERB 
interpellates | VERB 
interpleaded | VERB 
interpleading | VERB 
interpolate | VERB 
interpolates | VERB 
interposes | VERB 
interposing | VERB 
interrelate | VERB 
interrelates | VERB 
interrogate | VERB 
interrogates | VERB 
interspaces | VERB 
interspacing | VERB 
intersperses | VERB 
interspersing | VERB 
intertangle | VERB 
intertangles | VERB 
intertraffic | VERB 
intertwining | VERB 
intertwinings | VERB 
intervening | VERB 
intervolving | VERB 
interweaving | VERB 
interworking | VERB 
interwoven | VERB 
interwreathing | VERB 
intimated | VERB 
intimating | VERB 
intimidate | VERB 
intimidates | VERB 
intituling | VERB 
intonated | VERB 
intonating | VERB 
intoxicate | VERB 
intoxicates | VERB 
introduces | VERB 
introducing | VERB 
intromitted | VERB 
intromitting | VERB 
intubated | VERB 
intumesces | VERB 
intumescing | VERB 
intussuscept | VERB 
intussuscepts | VERB 
inundated | VERB 
inundating | VERB 
invaginate | VERB 
invaginates | VERB 
invalidate | VERB 
invalidates | VERB 
inventories | VERB 
inventory | VERB 
investigate | VERB 
investigates | VERB 
invigilate | VERB 
invigilates | VERB 
invigorate | VERB 
invigorates | VERB 
invocated | VERB 
invocating | VERB 
involuted | VERB 
iodises | VERB 
iodizes | VERB 
iodizing | VERB 
ionises | VERB 
ionising | VERB 
ionizes | VERB 
iridizes | VERB 
iridizing | VERB 
ironizes | VERB 
irradiate | VERB 
irradiates | VERB 
irrigated | VERB 
irrigating | VERB 
irritated | VERB 
irritating | VERB 
isochronize | VERB 
isochronized | VERB 
isogamy | VERB 
isolated | VERB 
isomerize | VERB 
isomerized | VERB 
italicize | VERB 
italicized | VERB 
itemizes | VERB 
itemizing | VERB 
iterated | VERB 
iterating | VERB 
itinerate | VERB 
itinerates | VERB 
jaculated | VERB 
jaculating | VERB 
jargonises | VERB 
jargonising | VERB 
jargonizes | VERB 
jargonizing | VERB 
jellifying | VERB 
jeopardises | VERB 
jeopardising | VERB 
jeopardizes | VERB 
jeopardizing | VERB 
jitterbugging | VERB 
jollifying | VERB 
journalises | VERB 
journalising | VERB 
journalizes | VERB 
journalizing | VERB 
jubilate | VERB 
jubilated | VERB 
jubilates | VERB 
jubilating | VERB 
jugulated | VERB 
jugulating | VERB 
justifying | VERB 
juxtaposes | VERB 
juxtaposing | VERB 
kalsomining | VERB 
kaolinise | VERB 
kaolinised | VERB 
kaolinize | VERB 
kaolinized | VERB 
keratinize | VERB 
keratinized | VERB 
kyanises | VERB 
kyanising | VERB 
kyanizes | VERB 
kyanizing | VERB 
labialise | VERB 
labialised | VERB 
labialize | VERB 
lacerating | VERB 
laicises | VERB 
laicizes | VERB 
laicizing | VERB 
lallygagging | VERB 
laminated | VERB 
laminating | VERB 
lancinated | VERB 
lancinating | VERB 
lapidated | VERB 
lapidating | VERB 
lapidified | VERB 
lapidifies | VERB 
lapidify | VERB 
latinizes | VERB 
legalises | VERB 
legalising | VERB 
legalizes | VERB 
legalizing | VERB 
legislated | VERB 
legislating | VERB 
legitimate | VERB 
legitimise | VERB 
legitimised | VERB 
legitimize | VERB 
legitimized | VERB 
lethargises | VERB 
lethargising | VERB 
lethargizes | VERB 
lethargizing | VERB 
leverages | VERB 
levigated | VERB 
levigating | VERB 
levitated | VERB 
levitating | VERB 
liberalise | VERB 
liberalised | VERB 
liberalize | VERB 
liberalized | VERB 
liberated | VERB 
liberating | VERB 
ligaturing | VERB 
lignifying | VERB 
lionises | VERB 
lionising | VERB 
lionizes | VERB 
lionizing | VERB 
liquefying | VERB 
liquidated | VERB 
liquidating | VERB 
liquidises | VERB 
liquidising | VERB 
liquidizes | VERB 
liquidizing | VERB 
literalise | VERB 
literalised | VERB 
literalize | VERB 
literalized | VERB 
litigated | VERB 
litigating | VERB 
lixiviate | VERB 
lixiviates | VERB 
localises | VERB 
localising | VERB 
localizes | VERB 
localizing | VERB 
logicises | VERB 
logicising | VERB 
logicizes | VERB 
logicizing | VERB 
lollygagging | VERB 
lubricated | VERB 
lubricating | VERB 
lucubrated | VERB 
lucubrating | VERB 
luminesces | VERB 
luminescing | VERB 
luteinize | VERB 
luteinized | VERB 
luxuriate | VERB 
luxuriates | VERB 
lyophilize | VERB 
lyophilized | VERB 
macadamize | VERB 
machicolate | VERB 
machicolates | VERB 
machinated | VERB 
machinating | VERB 
maculated | VERB 
maculating | VERB 
magnetises | VERB 
magnetising | VERB 
magnetizes | VERB 
magnetizing | VERB 
malleated | VERB 
malleating | VERB 
manipulate | VERB 
manipulates | VERB 
manufacture | VERB 
manufactured | VERB 
manufactures | VERB 
manumitted | VERB 
manumitting | VERB 
marginated | VERB 
marinated | VERB 
marinating | VERB 
martyrises | VERB 
martyrising | VERB 
martyrizes | VERB 
martyrizing | VERB 
masculinize | VERB 
masculinized | VERB 
masqueraded | VERB 
masquerading | VERB 
masticated | VERB 
masticating | VERB 
matriculate | VERB 
matriculates | VERB 
matronizes | VERB 
maturated | VERB 
maturating | VERB 
maximizes | VERB 
maximizing | VERB 
mechanizes | VERB 
mediated | VERB 
mediating | VERB 
mediatise | VERB 
mediatised | VERB 
mediatize | VERB 
mediatized | VERB 
medicated | VERB 
medicating | VERB 
meditated | VERB 
meditating | VERB 
meliorate | VERB 
meliorated | VERB 
meliorates | VERB 
meliorating | VERB 
melodizes | VERB 
melodizing | VERB 
memorizes | VERB 
memorizing | VERB 
menstruated | VERB 
menstruating | VERB 
mercerizes | VERB 
mercerizing | VERB 
merchandises | VERB 
merchandising | VERB 
merchandisings | VERB 
mesmerizes | VERB 
mesmerizing | VERB 
metabolise | VERB 
metabolised | VERB 
metabolize | VERB 
metallises | VERB 
metallising | VERB 
metallizes | VERB 
metallizing | VERB 
metamorphose | VERB 
metaphrases | VERB 
metastasize | VERB 
metathesize | VERB 
methodises | VERB 
methodising | VERB 
methodizes | VERB 
metricises | VERB 
metricising | VERB 
metricizes | VERB 
metricizing | VERB 
microcopies | VERB 
microcopy | VERB 
militarise | VERB 
militarised | VERB 
militarize | VERB 
militarized | VERB 
militated | VERB 
militating | VERB 
mineralise | VERB 
mineralised | VERB 
mineralize | VERB 
mineralized | VERB 
miniaturise | VERB 
miniaturize | VERB 
minimises | VERB 
minimising | VERB 
minimizes | VERB 
minimizing | VERB 
misaddresses | VERB 
misaddressing | VERB 
misadvises | VERB 
misadvising | VERB 
misalleges | VERB 
misalleging | VERB 
misallotted | VERB 
misallotting | VERB 
misallying | VERB 
misapplying | VERB 
misapprehend | VERB 
misapprehends | VERB 
misbecoming | VERB 
misbehaving | VERB 
miscalculate | VERB 
miscalculates | VERB 
misclassified | VERB 
misclassifies | VERB 
misclassify | VERB 
miscomputed | VERB 
miscomputing | VERB 
misconceiving | VERB 
misconjecture | VERB 
misconjectured | VERB 
misconjectures | VERB 
misconstruing | VERB 
miscounselling | VERB 
misdescribing | VERB 
misestimate | VERB 
misestimates | VERB 
misinterpret | VERB 
misinterprets | VERB 
mislabelling | VERB 
mismanages | VERB 
mismanaging | VERB 
mismeasuring | VERB 
misperceiving | VERB 
mispronounces | VERB 
mispunctuate | VERB 
mispunctuates | VERB 
misrelated | VERB 
misrelating | VERB 
misrepresent | VERB 
misrepresents | VERB 
mistranslated | VERB 
mistranslating | VERB 
misunderstand | VERB 
misunderstands | VERB 
mithridatise | VERB 
mithridatised | VERB 
mithridatize | VERB 
mithridatized | VERB 
mobilises | VERB 
mobilising | VERB 
mobilities | VERB 
mobility | VERB 
mobilizes | VERB 
modernises | VERB 
modernising | VERB 
modernizes | VERB 
modernizing | VERB 
modifying | VERB 
modulated | VERB 
modulating | VERB 
moisturizes | VERB 
mollycoddle | VERB 
mollycoddles | VERB 
monetizes | VERB 
mongrelises | VERB 
mongrelising | VERB 
mongrelizes | VERB 
mongrelizing | VERB 
monophthongize | VERB 
monophthongized | VERB 
monopolise | VERB 
monopolised | VERB 
monopolize | VERB 
moralises | VERB 
moralising | VERB 
moralizes | VERB 
moralizing | VERB 
mortifying | VERB 
motivated | VERB 
motivating | VERB 
motorcycle | VERB 
motorcycles | VERB 
motorises | VERB 
motorising | VERB 
motorizes | VERB 
motorizing | VERB 
multiplying | VERB 
mummifying | VERB 
mundifying | VERB 
mutilated | VERB 
mutilating | VERB 
mutualise | VERB 
mutualised | VERB 
mutualize | VERB 
mutualized | VERB 
mystifying | VERB 
mythicises | VERB 
mythicising | VERB 
mythicizes | VERB 
mythicizing | VERB 
mythologize | VERB 
mythologized | VERB 
naphthalises | VERB 
naphthalising | VERB 
naphthalizes | VERB 
naphthalizing | VERB 
narcotises | VERB 
narcotising | VERB 
narcotizes | VERB 
nasalises | VERB 
nasalizes | VERB 
nasalizing | VERB 
nationalize | VERB 
naturalize | VERB 
naturalized | VERB 
navigated | VERB 
navigating | VERB 
nebulises | VERB 
nebulising | VERB 
nebulizes | VERB 
nebulizing | VERB 
necessitate | VERB 
necessitates | VERB 
necrotises | VERB 
necrotising | VERB 
necrotizes | VERB 
necrotizing | VERB 
negativing | VERB 
negotiate | VERB 
negotiates | VERB 
neologise | VERB 
neologised | VERB 
neologize | VERB 
neologized | VERB 
neoterize | VERB 
neoterized | VERB 
neutralizes | VERB 
neutralizing | VERB 
nickelises | VERB 
nickelising | VERB 
nickelizes | VERB 
nickelizing | VERB 
nidificate | VERB 
nidificates | VERB 
nidifying | VERB 
nielloing | VERB 
niggardises | VERB 
niggardising | VERB 
niggardizes | VERB 
niggardizing | VERB 
nitrogenise | VERB 
nitrogenised | VERB 
nitrogenize | VERB 
nitrogenized | VERB 
nomadises | VERB 
nomadizes | VERB 
nominalize | VERB 
nominalized | VERB 
nominated | VERB 
nominating | VERB 
normalises | VERB 
normalising | VERB 
normalizes | VERB 
normalizing | VERB 
notarizes | VERB 
notarizing | VERB 
notifying | VERB 
novelises | VERB 
novelising | VERB 
novelizes | VERB 
nucleated | VERB 
nucleating | VERB 
nullifying | VERB 
numerated | VERB 
numerating | VERB 
obelises | VERB 
obelising | VERB 
obelizes | VERB 
obelizing | VERB 
obfuscated | VERB 
obfuscating | VERB 
objectifies | VERB 
objectify | VERB 
objectivize | VERB 
objectivized | VERB 
objurgated | VERB 
objurgating | VERB 
obliterate | VERB 
obliterates | VERB 
obnubilate | VERB 
obnubilates | VERB 
obscuration | VERB 
obscurations | VERB 
obsolesces | VERB 
obturated | VERB 
obturating | VERB 
obumbrated | VERB 
obumbrating | VERB 
obviated | VERB 
obviating | VERB 
officiate | VERB 
officiates | VERB 
opalesces | VERB 
opalescing | VERB 
operatize | VERB 
opiated | VERB 
opiating | VERB 
oppilated | VERB 
oppilating | VERB 
optimizes | VERB 
optimizing | VERB 
orchestrated | VERB 
orchestrating | VERB 
organises | VERB 
organising | VERB 
organizes | VERB 
organizing | VERB 
orientate | VERB 
orientates | VERB 
originate | VERB 
originates | VERB 
oscillated | VERB 
osculated | VERB 
osculating | VERB 
ossifying | VERB 
ostracises | VERB 
ostracizes | VERB 
outbalances | VERB 
outbalancing | VERB 
outdistances | VERB 
outdistancing | VERB 
outgeneral | VERB 
outgenerals | VERB 
outmaneuver | VERB 
outmaneuvers | VERB 
outmanoeuvre | VERB 
outmanoeuvres | VERB 
outmeasuring | VERB 
outvaluing | VERB 
outwearying | VERB 
overabound | VERB 
overabounds | VERB 
overachieve | VERB 
overachieves | VERB 
overarches | VERB 
overawing | VERB 
overbalance | VERB 
overbalanced | VERB 
overbidding | VERB 
overbuilding | VERB 
overburden | VERB 
overburdens | VERB 
overbuying | VERB 
overcharges | VERB 
overcoming | VERB 
overcorrect | VERB 
overcorrects | VERB 
overcropping | VERB 
overdoes | VERB 
overdoing | VERB 
overdoses | VERB 
overdosing | VERB 
overdresses | VERB 
overdressing | VERB 
overdriven | VERB 
overdriving | VERB 
overeaten | VERB 
overeating | VERB 
overexcite | VERB 
overexcites | VERB 
overexert | VERB 
overexerts | VERB 
overexpose | VERB 
overexposed | VERB 
overextend | VERB 
overextends | VERB 
overeying | VERB 
overfishes | VERB 
overflying | VERB 
overglances | VERB 
overglancing | VERB 
overgrazes | VERB 
overgrazing | VERB 
overgrowing | VERB 
overhanging | VERB 
overhearing | VERB 
overinclined | VERB 
overindulge | VERB 
overindulged | VERB 
